id_subcatalogo,url_subcatalogos,id_pais
105,https://www.rappi.co.cr/catalogo/restaurants/c-1,4
106,https://www.rappi.co.cr/catalogo/restaurants/d-1,4
107,https://www.rappi.co.cr/catalogo/restaurants/e-1,4
108,https://www.rappi.co.cr/catalogo/restaurants/f-1,4
109,https://www.rappi.co.cr/catalogo/restaurants/g-1,4
110,https://www.rappi.co.cr/catalogo/restaurants/h-1,4
111,https://www.rappi.co.cr/catalogo/restaurants/i-1,4
112,https://www.rappi.co.cr/catalogo/restaurants/j-1,4
113,https://www.rappi.co.cr/catalogo/restaurants/k-1,4
114,https://www.rappi.co.cr/catalogo/restaurants/l-1,4
115,https://www.rappi.co.cr/catalogo/restaurants/m-1,4
116,https://www.rappi.co.cr/catalogo/restaurants/n-1,4
117,https://www.rappi.co.cr/catalogo/restaurants/o-1,4
118,https://www.rappi.co.cr/catalogo/restaurants/p-1,4
119,https://www.rappi.co.cr/catalogo/restaurants/r-1,4
120,https://www.rappi.co.cr/catalogo/restaurants/s-1,4
121,https://www.rappi.co.cr/catalogo/restaurants/t-1,4
122,https://www.rappi.co.cr/catalogo/restaurants/v-1,4
123,https://www.rappi.co.cr/catalogo/restaurants/w-1,4
124,https://www.rappi.co.cr/catalogo/restaurants/z-1,4
125,https://www.rappi.co.cr/catalogo/restaurants/numeric-1,4
126,https://www.rappi.com.ec/catalogo/restaurants/b-1,5
127,https://www.rappi.com.ec/catalogo/restaurants/c-1,5
128,https://www.rappi.com.ec/catalogo/restaurants/d-1,5
129,https://www.rappi.com.ec/catalogo/restaurants/e-1,5
130,https://www.rappi.com.ec/catalogo/restaurants/f-1,5
131,https://www.rappi.com.ec/catalogo/restaurants/g-1,5
132,https://www.rappi.com.ec/catalogo/restaurants/h-1,5
133,https://www.rappi.com.ec/catalogo/restaurants/i-1,5
134,https://www.rappi.com.ec/catalogo/restaurants/j-1,5
135,https://www.rappi.com.ec/catalogo/restaurants/k-1,5
136,https://www.rappi.com.ec/catalogo/restaurants/l-1,5
137,https://www.rappi.com.ec/catalogo/restaurants/m-1,5
138,https://www.rappi.com.ec/catalogo/restaurants/n-1,5
139,https://www.rappi.com.ec/catalogo/restaurants/o-1,5
140,https://www.rappi.com.ec/catalogo/restaurants/p-1,5
141,https://www.rappi.com.ec/catalogo/restaurants/q-1,5
142,https://www.rappi.com.ec/catalogo/restaurants/r-1,5
143,https://www.rappi.com.ec/catalogo/restaurants/s-1,5
144,https://www.rappi.com.ec/catalogo/restaurants/t-1,5
145,https://www.rappi.com.ec/catalogo/restaurants/u-1,5
146,https://www.rappi.com.ec/catalogo/restaurants/v-1,5
147,https://www.rappi.com.ec/catalogo/restaurants/w-1,5
148,https://www.rappi.com.ec/catalogo/restaurants/y-1,5
149,https://www.rappi.com.ec/catalogo/restaurants/z-1,5
150,https://www.rappi.com.ec/catalogo/restaurants/numeric-1,5
151,https://www.rappi.com.mx/catalogo/restaurants/b-1,6
152,https://www.rappi.com.mx/catalogo/restaurants/c-1,6
153,https://www.rappi.com.mx/catalogo/restaurants/d-1,6
154,https://www.rappi.com.mx/catalogo/restaurants/e-1,6
155,https://www.rappi.com.mx/catalogo/restaurants/f-1,6
156,https://www.rappi.com.mx/catalogo/restaurants/g-1,6
157,https://www.rappi.com.mx/catalogo/restaurants/h-1,6
158,https://www.rappi.com.mx/catalogo/restaurants/i-1,6
159,https://www.rappi.com.mx/catalogo/restaurants/j-1,6
160,https://www.rappi.com.mx/catalogo/restaurants/k-1,6
161,https://www.rappi.com.mx/catalogo/restaurants/l-1,6
162,https://www.rappi.com.mx/catalogo/restaurants/m-1,6
163,https://www.rappi.com.mx/catalogo/restaurants/n-1,6
164,https://www.rappi.com.mx/catalogo/restaurants/o-1,6
