id_sucursal,mostraba_opiniones,overral_stars,number_opinions,tiempo_delivery,tipo_envio,dollar_mean_price
98,True,4.7,203,21.5,Gratis(nuevos usuarios),6.0
99,True,4.1,138,22.5,Gratis(nuevos usuarios),9.03
100,True,4,77,42.5,Gratis(nuevos usuarios),9.71
101,False,3.9,219,0.0,Gratis(nuevos usuarios),10.33
102,True,4,48,30.5,Gratis(nuevos usuarios),9.84
103,True,4,231,28.5,Gratis(nuevos usuarios),9.84
104,True,4,221,23.5,Gratis(nuevos usuarios),9.84
105,True,3.9,230,29.5,Gratis(nuevos usuarios),9.74
106,False,3.9,442,0.0,Gratis(nuevos usuarios),10.33
107,True,4,304,22.5,Gratis(nuevos usuarios),9.85
108,True,3.7,34,26.5,Gratis(nuevos usuarios),9.84
109,True,4.2,50,29.5,Gratis(nuevos usuarios),9.77
110,True,4.2,260,26.5,Gratis(nuevos usuarios),9.69
111,False,0.0,0,42.5,Gratis(nuevos usuarios),9.69
112,False,3.5,31,0.0,Gratis(nuevos usuarios),10.33
113,False,0.0,0,42.5,Gratis(nuevos usuarios),9.86
114,False,4.2,265,0.0,Gratis(nuevos usuarios),10.35
115,False,4.1,362,0.0,Gratis(nuevos usuarios),10.31
116,False,4.1,319,0.0,Gratis(nuevos usuarios),10.33
117,False,3.5,59,0.0,Gratis(nuevos usuarios),10.23
118,True,3.8,281,42.5,Gratis(nuevos usuarios),9.82
119,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
120,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
121,False,0.0,0,25.5,Gratis(nuevos usuarios),5.35
122,False,0.0,0,0.0,Gratis(nuevos usuarios),4.88
123,False,0.0,0,29.5,Gratis(nuevos usuarios),5.3
124,False,0.0,0,32.5,Gratis(nuevos usuarios),5.05
125,False,0.0,0,26.5,Gratis(nuevos usuarios),5.3
126,False,0.0,0,28.5,Gratis(nuevos usuarios),5.3
127,False,0.0,0,42.5,Gratis(nuevos usuarios),4.88
128,False,0.0,0,42.5,Gratis(nuevos usuarios),4.88
129,False,0.0,0,0.0,Gratis(nuevos usuarios),4.71
130,False,0.0,0,0.0,Gratis(nuevos usuarios),4.88
131,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
132,False,4.7,21,0.0,Gratis(nuevos usuarios),20.28
133,False,0.0,0,35.5,Gratis(nuevos usuarios),17.49
134,False,0.0,0,30.5,Gratis(nuevos usuarios),14.61
135,False,4.1,29,0.0,Gratis(nuevos usuarios),6.7
136,True,4.7,47,28.5,Gratis(nuevos usuarios),9.15
137,False,4.4,22,0.0,Gratis(nuevos usuarios),9.67
138,False,0.0,0,0.0,Gratis(nuevos usuarios),4.84
139,False,0.0,0,42.5,Gratis(nuevos usuarios),4.84
140,False,0.0,0,0.0,Gratis(nuevos usuarios),4.77
141,False,0.0,0,23.5,Gratis(nuevos usuarios),4.77
142,False,0.0,0,42.5,Gratis(nuevos usuarios),4.84
143,False,0.0,0,25.5,Gratis(nuevos usuarios),4.87
144,False,0.0,0,42.5,Gratis(nuevos usuarios),4.84
145,False,0.0,0,30.5,Gratis(nuevos usuarios),4.85
146,False,0.0,0,0.0,Gratis(nuevos usuarios),4.84
147,False,0.0,0,27.5,Gratis(nuevos usuarios),4.84
148,False,0.0,0,0.0,No específicado,0.0
149,False,0.0,0,0.0,Gratis(nuevos usuarios),4.84
150,False,0.0,0,27.5,Gratis(nuevos usuarios),4.84
151,False,0.0,0,28.5,Gratis(nuevos usuarios),4.84
152,False,0.0,0,0.0,Gratis(nuevos usuarios),4.84
153,False,0.0,0,27.5,Gratis(nuevos usuarios),4.84
154,False,0.0,0,0.0,Gratis(nuevos usuarios),4.84
155,False,0.0,0,27.5,Gratis(nuevos usuarios),4.84
156,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
157,False,0.0,0,0.0,Gratis(nuevos usuarios),4.72
158,False,0.0,0,42.5,Gratis(nuevos usuarios),4.32
159,False,0.0,0,18.0,Gratis(nuevos usuarios),4.66
