id_cadena,nombre_cadena,url_cadena,id_pais
65,Meraki Poke Sushi Woks,https://www.rappi.com.uy/restaurantes/delivery/10129-meraki-poke-sushi-woks,8
66,Magnum,https://www.rappi.com.uy/restaurantes/delivery/10160-magnum,8
67,MG Comida Rápida,https://www.rappi.com.uy/restaurantes/delivery/10867-mg-comida-rapida,8
68,Mr. Tequeños,https://www.rappi.com.uy/restaurantes/delivery/10881-mr-tequenos,8
69,Mafalda,https://www.rappi.com.uy/restaurantes/delivery/12273-mafalda,8
70,La Tortuguita,https://www.rappi.com.uy/restaurantes/delivery/3921-la-tortuguita,8
71,La Renaissance,https://www.rappi.com.uy/restaurantes/delivery/3971-la-renaissance,8
72,La Güera Taqueria,https://www.rappi.com.uy/restaurantes/delivery/4184-la-guera-taqueria,8
73,Local Hamburguesas,https://www.rappi.com.uy/restaurantes/delivery/4350-local-hamburguesas,8
74,La Vienesa,https://www.rappi.com.uy/restaurantes/delivery/4531-la-vienesa,8
75,La Gema,https://www.rappi.com.uy/restaurantes/delivery/4907-la-gema,8
76,La Dulceria de Xime Torres,https://www.rappi.com.uy/restaurantes/delivery/4970-la-dulceria-de-xime-torres,8
77,La Trillada,https://www.rappi.com.uy/restaurantes/delivery/5018-la-trillada,8
78,La Chicharra Helados,https://www.rappi.com.uy/restaurantes/delivery/5222-la-chicharra-helados,8
79,La Bizcochería,https://www.rappi.com.uy/restaurantes/delivery/5705-la-bizcocheria,8
80,La Wawa,https://www.rappi.com.uy/restaurantes/delivery/6158-la-wawa,8
81,La Fábrica Resto,https://www.rappi.com.uy/restaurantes/delivery/6657-la-fabrica-resto,8
82,La Metropolitana Panadería,https://www.rappi.com.uy/restaurantes/delivery/6748-la-metropolitana-panaderia,8
83,La Bolognesa,https://www.rappi.com.uy/restaurantes/delivery/6775-la-bolognesa,8
84,La Fabbrica Pizza e Pasta,https://www.rappi.com.uy/restaurantes/delivery/6914-la-fabbrica-pizza-e-pasta,8
85,La Pasiva Convención,https://www.rappi.com.uy/restaurantes/delivery/7011-la-pasiva-convencion,8
86,La Biennale,https://www.rappi.com.uy/restaurantes/delivery/7379-la-biennale,8
87,La Fábrica Café,https://www.rappi.com.uy/restaurantes/delivery/7532-la-fabrica-cafe,8
88,La Metropolitana Rotisería,https://www.rappi.com.uy/restaurantes/delivery/7544-la-metropolitana-rotiseria,8
89,La Taberna Del Diablo MAM,https://www.rappi.com.uy/restaurantes/delivery/7651-la-taberna-del-diablo-mam,8
90,La Cantina W,https://www.rappi.com.uy/restaurantes/delivery/9984-la-cantina-w,8
91,La Campeona de la Empanada,https://www.rappi.com.uy/restaurantes/delivery/10103-la-campeona-de-la-empanada,8
92,La Renaissance Pattisserie & Boulangerie,https://www.rappi.com.uy/restaurantes/delivery/10873-la-renaissance-pattisserie-boulangerie,8
93,La Panera Rosa,https://www.rappi.com.uy/restaurantes/delivery/11634-la-panera-rosa,8
94,La Burguesería,https://www.rappi.com.uy/restaurantes/delivery/12255-la-burgueseria,8
95,La Boutique,https://www.rappi.com.uy/restaurantes/delivery/12504-la-boutique,8
96,La Verdad de la Milanga,https://www.rappi.com.uy/restaurantes/delivery/12571-la-verdad-de-la-milanga,8
97,Kona Poke & Bar,https://www.rappi.com.uy/restaurantes/delivery/6693-kona-poke-bar,8
98,Kaktus & Co - Pocitos,https://www.rappi.com.uy/restaurantes/delivery/7212-kaktus-co-pocitos,8
99,Inka Chicken,https://www.rappi.com.uy/restaurantes/delivery/12467-inka-chicken,8
100,Heladería la Nueva Roma,https://www.rappi.com.uy/restaurantes/delivery/7178-heladeria-la-nueva-roma,8
101,Grido,https://www.rappi.com.uy/restaurantes/delivery/5123-grido,8
102,Guacamole,https://www.rappi.com.uy/restaurantes/delivery/7478-guacamole,8
103,Gema Fast Food,https://www.rappi.com.uy/restaurantes/delivery/7518-gema-fast-food,8
104,Gyros The Original,https://www.rappi.com.uy/restaurantes/delivery/9737-gyros-the-original,8
105,Freddo,https://www.rappi.com.uy/restaurantes/delivery/4958-freddo,8
106,Erevan,https://www.rappi.com.uy/restaurantes/delivery/4185-erevan,8
107,Empanada de La Mancha,https://www.rappi.com.uy/restaurantes/delivery/6763-empanada-de-la-mancha,8
108,El Berretín Mercado Williman,https://www.rappi.com.uy/restaurantes/delivery/7097-el-berretin-mercado-williman,8
109,El Fondito -,https://www.rappi.com.uy/restaurantes/delivery/7203-el-fondito,8
110,Empanadas Cervantes Tres Cruces,https://www.rappi.com.uy/restaurantes/delivery/7450-empanadas-cervantes-tres-cruces,8
111,El Faro,https://www.rappi.com.uy/restaurantes/delivery/7572-el-faro,8
112,El Patron,https://www.rappi.com.uy/restaurantes/delivery/11619-el-patron,8
113,El Armenio,https://www.rappi.com.uy/restaurantes/delivery/12301-el-armenio,8
114,EDM,https://www.rappi.com.uy/restaurantes/delivery/12496-edm,8
115,El Palacio del Falafel,https://www.rappi.com.uy/restaurantes/delivery/12674-el-palacio-del-falafel,8
116,Diakos Bar Café,https://www.rappi.com.uy/restaurantes/delivery/4136-diakos-bar-cafe,8
117,Donatello's,https://www.rappi.com.uy/restaurantes/delivery/9804-donatello-s,8
118,De La Hostia Croquetas,https://www.rappi.com.uy/restaurantes/delivery/9929-de-la-hostia-croquetas,8
119,Dr. Chivito,https://www.rappi.com.uy/restaurantes/delivery/12541-dr-chivito,8
120,Chelato,https://www.rappi.com.uy/restaurantes/delivery/3853-chelato,8
121,Charles Burger,https://www.rappi.com.uy/restaurantes/delivery/4752-charles-burger,8
122,Chivitería Marcos Pocitos,https://www.rappi.com.uy/restaurantes/delivery/5439-chiviteria-marcos-pocitos,8
123,Chivilandia,https://www.rappi.com.uy/restaurantes/delivery/5614-chivilandia,8
124,Ciudad Burger Pizza,https://www.rappi.com.uy/restaurantes/delivery/5710-ciudad-burger-pizza,8
125,Costa Azul,https://www.rappi.com.uy/restaurantes/delivery/6353-costa-azul,8
126,Carmela Cocina,https://www.rappi.com.uy/restaurantes/delivery/12258-carmela-cocina,8
127,Chivi Max,https://www.rappi.com.uy/restaurantes/delivery/12566-chivi-max,8
128,BBQ Pocitos,https://www.rappi.com.uy/restaurantes/delivery/5463-bbq-pocitos,8
129,Bangwok,https://www.rappi.com.uy/restaurantes/delivery/5782-bangwok,8
130,Bar Monteverde,https://www.rappi.com.uy/restaurantes/delivery/7391-bar-monteverde,8
131,Barny's,https://www.rappi.com.uy/restaurantes/delivery/9976-barny-s,8
132,BLACKBURGER,https://www.rappi.com.uy/restaurantes/delivery/12268-blackburger,8
133,Bar de Milanesas,https://www.rappi.com.uy/restaurantes/delivery/12471-bar-de-milanesas,8
134,@Bar,https://www.rappi.com.uy/restaurantes/delivery/12677-bar,8
135,500 Grados,https://www.rappi.com.pe/restaurantes/delivery/5167-500-grados,7
136,407 Bistro,https://www.rappi.com.pe/restaurantes/delivery/6159-407-bistro,7
137,501 Pastelería Artesanal,https://www.rappi.com.pe/restaurantes/delivery/6192-501-pasteleria-artesanal,7
138,200 Millas Cevichería,https://www.rappi.com.pe/restaurantes/delivery/7432-200-millas-cevicheria,7
139,100% Healthy Food,https://www.rappi.com.pe/restaurantes/delivery/9223-100-healthy-food,7
140,13 MONJAS SAC,https://www.rappi.com.pe/restaurantes/delivery/11053-13-monjas-sac,7
141,2080 Burger Place,https://www.rappi.com.pe/restaurantes/delivery/14012-2080-burger-place,7
142,3/4 Burger,https://www.rappi.com.pe/restaurantes/delivery/17712-3-4-burger,7
143,27 fast food,https://www.rappi.com.pe/restaurantes/delivery/23229-27-fast-food,7
144,Zacateca - Helados,https://www.rappi.com.pe/restaurantes/delivery/5267-zacateca-helados,7
145,"Zoe & Joe - Barra, Café y Pastel",https://www.rappi.com.pe/restaurantes/delivery/6356-zoe-joe-barra-cafe-y-pastel,7
146,Zucarella,https://www.rappi.com.pe/restaurantes/delivery/7772-zucarella,7
147,Zushumi,https://www.rappi.com.pe/restaurantes/delivery/8552-zushumi,7
148,Zaika,https://www.rappi.com.pe/restaurantes/delivery/10354-zaika,7
149,Zimmermann,https://www.rappi.com.pe/restaurantes/delivery/12241-zimmermann,7
150,Zum - Natural Bowls & Juices,https://www.rappi.com.pe/restaurantes/delivery/17347-zum-natural-bowls-juices,7
151,ZIGZAG,https://www.rappi.com.pe/restaurantes/delivery/20514-zigzag,7
152,Zoburger´s,https://www.rappi.com.pe/restaurantes/delivery/20892-zoburgers,7
153,Yume,https://www.rappi.com.pe/restaurantes/delivery/5190-yume,7
154,Yakitori,https://www.rappi.com.pe/restaurantes/delivery/5533-yakitori,7
155,Yakuza,https://www.rappi.com.pe/restaurantes/delivery/6639-yakuza,7
156,Yuguen Makis,https://www.rappi.com.pe/restaurantes/delivery/6919-yuguen-makis,7
157,Yong Xing,https://www.rappi.com.pe/restaurantes/delivery/7755-yong-xing,7
158,Yopo,https://www.rappi.com.pe/restaurantes/delivery/10574-yopo,7
159,YALA,https://www.rappi.com.pe/restaurantes/delivery/10681-yala,7
160,Ynn Coffee,https://www.rappi.com.pe/restaurantes/delivery/12777-ynn-coffee,7
161,Y&M´s Pizza,https://www.rappi.com.pe/restaurantes/delivery/18972-y-ms-pizza,7
162,Yume Cream Gelato & Café,https://www.rappi.com.pe/restaurantes/delivery/20257-yume-cream-gelato-cafe,7
163,Yaosi,https://www.rappi.com.pe/restaurantes/delivery/20986-yaosi,7
164,Yuzen - Sushi Fusión,https://www.rappi.com.pe/restaurantes/delivery/22252-yuzen-sushi-fusion,7
165,Xpizza.pe,https://www.rappi.com.pe/restaurantes/delivery/6606-xpizza-pe,7
166,Xinona's,https://www.rappi.com.pe/restaurantes/delivery/8031-xinona-s,7
167,Xiao Chen,https://www.rappi.com.pe/restaurantes/delivery/14296-xiao-chen,7
